snapshot_id,k,l,AIL
0,10,2,0.1753686398693612
1,10,3,0.176514371830478
2,10,3,0.181215609146029
3,10,2,0.1728342598831729
4,10,3,0.1707761284213641
5,10,3,0.1749738385515786
6,10,1,0.1725492810500339
7,10,1,0.1803856030080151
8,10,4,0.1830314084185537
9,10,4,0.1785013190900826
