data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,snapshot_id,algo,galgo,AIL,dm,am,AAIL,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges,fake+discarded
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.200887964687002,0.200311668254425,0.201464261119575,0.0127843374790114,44,3601,5852,21660,4459,3645,7220,27512,1,6,1,858,1368,902
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.00,gs,gs,0,8,tanga,ad2,0.150047066720464,0.149673183625886,0.15042094981504,0.0153771767529092,63,4153,7485,16885,4821,4216,8604,24370,1,4,1,668,1119,731
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.0931286167369598,0.0930449972063311,0.0932122362675873,0.0000933,0,4055,6467,3933,4471,4055,7242,10400,1,2,1,416,775,416
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.25048394402633,0.249387949787654,0.251579938265004,0.0143503943666798,44,3365,5562,39979,4439,3409,7178,45541,1,10,1,1074,1616,1118
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.253173877340978,0.252034822777117,0.254312931904838,0.0147717810797907,47,3496,5995,44406,4627,3543,7777,50401,1,10,1,1131,1782,1178
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,6,-1,1,-1,km,gs#0.00,gs,gs,0,8,tanga,ad2,0.210268565011339,0.20966569372589,0.210871436296784,0.0168117663242217,63,3860,6927,27273,4821,3923,8604,34200,1,6,1,961,1677,1024
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.124140211249729,0.123435522812527,0.124844899686929,0.0119188625661511,44,3913,5935,41843,4420,3957,7113,47778,1,10,1,507,1178,551
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.249357793986798,0.24838056832937,0.250335019644226,0.0142038744884641,44,3362,5535,39718,4429,3406,7145,45253,1,10,1,1067,1610,1111
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.246513989194302,0.245528733146976,0.247499245241626,0.0138751107804349,43,3374,5555,40518,4429,3417,7145,46073,1,10,1,1055,1590,1098
yago15,-1,isCitizenOf,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.260509102843931,0.259482838372667,0.261535367315194,0.0128138031881562,40,3456,5924,44355,4627,3496,7777,50279,1,10,1,1171,1853,1211
