snapshot_id,snapshot_year,k,l,AAIL,AIL,final_SE_similarity,final_SA_similarity,fake_nodes,discarded_entries,original_num_of_individuals,num_of_individuals_post_anonymization,fake+discarded
2,1913_1928,10,3,0.00216353190787811,0.181215609146029,0.7388,0.5017,667,251,4711,5127,918
2,1913_1928,2,4,1,1,0,1,1658,1645,4711,4724,3303
2,1913_1928,4,4,0.00062239410143267,0.206641811577161,0.8299,0.4999,750,311,4711,5150,1061
2,1913_1928,6,4,0.00111820628801283,0.183327394948814,0.7806,0.5006,668,264,4711,5115,932
2,1913_1928,8,4,0.00166189209399045,0.190128003865691,0.7557,0.5006,643,308,4711,5046,951
2,1913_1928,10,4,0.00209051575804571,0.191014945985955,0.7405,0.5013,618,327,4711,5002,945
3,1929_1941,2,1,0.000121027507951308,0.260309115282246,0.9577,0.4961,1660,0,4720,6380,1660
3,1929_1941,4,1,0.00067010446843106,0.200124189085315,0.8286,0.502,716,307,4720,5129,1023
3,1929_1941,6,1,0.00121613709568844,0.188838542109398,0.7838,0.5022,672,286,4720,5106,958
3,1929_1941,8,1,0.00160391318442263,0.184471114436134,0.7521,0.501,664,271,4720,5113,935
3,1929_1941,10,1,0.00193764480441971,0.18464884323271,0.7382,0.5028,650,280,4720,5090,930
3,1929_1941,2,2,0.000120123610570668,0.260887547259748,0.9582,0.493,1665,0,4720,6385,1665
3,1929_1941,4,2,0.00066163996735504,0.203461562191738,0.8304,0.5003,733,310,4720,5143,1043
3,1929_1941,6,2,0.00118687727851117,0.184772190453457,0.783,0.5016,654,281,4720,5093,935
3,1929_1941,8,2,0.00169428250567568,0.179525223494511,0.7511,0.501,594,298,4720,5016,892
3,1929_1941,10,2,0.00209301208344672,0.172834259883173,0.7388,0.5005,633,240,4720,5113,873
3,1929_1941,2,3,1,1,0,1,525,1649,4720,3596,2174
3,1929_1941,4,3,0.000630124851992597,0.201018474366556,0.83,0.5013,731,301,4720,5150,1032
3,1929_1941,6,3,0.00116514604257349,0.193092332429594,0.7814,0.5008,652,318,4720,5054,970
3,1929_1941,8,3,0.00160740866685176,0.185916495991906,0.7533,0.5017,644,291,4720,5073,935
3,1929_1941,10,3,0.00219673892093938,0.181653411536446,0.7386,0.5012,614,291,4720,5043,905
3,1929_1941,2,4,1,1,0,1,1663,1654,4720,4729,3317
3,1929_1941,4,4,0.000613850277411963,0.213571488766965,0.8305,0.5012,804,307,4720,5217,1111
3,1929_1941,6,4,0.00110287086149698,0.193880972201043,0.7843,0.5013,712,281,4720,5151,993
3,1929_1941,8,4,0.00165637440161854,0.187180335427667,0.7544,0.5025,621,312,4720,5029,933
