data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,radm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.0285734733922115,0.0279629629629631,0.0291839838214601,0.000821150863281514,0,525,443,4141,540,525,847,4584,1,10,1,15,404
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.25,gs,gs,0.25,2,tanga,ad2,0.618189192499684,0.617996596599757,0.618381788399613,0.000594434845973947,0,408,250,2349,1068,408,2212,2599,1,10,1,660,1962
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.25,gs,gs,0.25,9,tanga,ad2,0.607410753844475,0.607166282490956,0.60765522519799,0.000727995181370801,0,726,439,4049,1848,726,5594,4488,1,10,1,1122,5155
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.25,gs,gs,0.25,6,tanga,ad2,0.614137125628096,0.613909720926728,0.614364530329466,0.000694182665682076,0,595,369,3437,1541,595,4068,3806,1,10,1,946,3699
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.047151962677301,0.0464926268861455,0.0478112984684563,0.000902200215058387,0,515,429,4430,540,515,847,4859,1,10,1,25,418
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,8,tanga,ad2,0.560114045593612,0.559887605728061,0.560340485459165,0.000598160792105731,0,783,514,3738,1779,783,5128,4252,1,8,1,996,4614
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,3,-1,km,gs#0.25,gs,gs,0.25,3,tanga,ad2,0.633885017668341,0.633727654120957,0.634042381215724,0.000587894017842902,0,437,232,2124,1193,437,2685,2356,1,10,1,756,2453
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,9,tanga,ad2,0.303197379908648,0.303070126122073,0.303324633695219,0.000252140190558455,0,1288,1667,1750,1848,1288,5594,3417,1,2,1,560,3927
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,8,tanga,ad2,0.588760829879014,0.588506443672258,0.589015216085769,0.0102127387001816,7,735,497,4598,1779,742,5128,5095,1,10,1,1044,4631
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.374886421310618,0.374771080279841,0.375001762341396,0.000284735665355122,0,564,411,1260,902,564,1702,1671,1,4,1,338,1291
