data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,snapshot_id,algo,galgo,AIL,dm,am,AAIL,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,3,tanga,ad2,0.363070229842349,0.362981460025618,0.363158999659078,0.000201698243501808,0,760,820,867,1193,760,2685,1687,1,2,1,433,1865
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,2,tanga,ad2,0.38781822587203,0.38767858645794,0.387957865286121,0.000310025907526921,0,654,524,1600,1068,654,2212,2124,1,4,1,414,1688
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,4,tanga,ad2,0.396258645365201,0.396075277455683,0.396442013274715,0.000382040998517714,0,793,640,2012,1313,793,3146,2652,1,4,1,520,2506
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,5,tanga,ad2,0.569672018643742,0.569458614095329,0.569885423192156,0.000587704996730009,0,617,395,2866,1433,617,3578,3261,1,8,1,816,3183
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,2,tanga,ad2,0.577912377833645,0.577739465415423,0.578085290251871,0.000505615963142273,0,451,285,2130,1068,451,2212,2415,1,8,1,617,1927
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,0,tanga,ad2,0.0284913662912925,0.0279612482853224,0.0290214842972627,0.000736672649930098,0,525,522,3525,540,525,847,4047,1,8,1,15,325
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,9,tanga,ad2,0.383903716438309,0.383700174284588,0.384107258592029,0.00041994757161947,0,1139,1062,3342,1848,1139,5594,4404,1,4,1,709,4532
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,6,tanga,ad2,0.560275053564666,0.560050697335769,0.560499409793565,0.000601948679415537,0,678,448,3272,1541,678,4068,3720,1,8,1,863,3620
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,8,tanga,ad2,0.560114045593612,0.559887605728061,0.560340485459165,0.000598160792105731,0,783,514,3738,1779,783,5128,4252,1,8,1,996,4614
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,9,tanga,ad2,0.303197379908648,0.303070126122073,0.303324633695219,0.000252140190558455,0,1288,1667,1750,1848,1288,5594,3417,1,2,1,560,3927
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.374886421310618,0.374771080279841,0.375001762341396,0.000284735665355122,0,564,411,1260,902,564,1702,1671,1,4,1,338,1291
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,4,tanga,ad2,0.337527824141576,0.337430226413583,0.337625421869565,0.000213466545001681,0,870,977,1027,1313,870,3146,2004,1,2,1,443,2169
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,3,tanga,ad2,0.571898481789228,0.571694236215869,0.572102727362584,0.000578718224426518,0,511,315,2305,1193,511,2685,2620,1,8,1,682,2370
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,4,tanga,ad2,0.553955933277673,0.553721818663792,0.554190047891551,0.000626169595193705,0,586,370,2618,1313,586,3146,2988,1,8,1,727,2776
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.25,gs,gs,0.25,5,tanga,ad2,0.332306636118757,0.332206308385386,0.332406963852124,0.000217609286296317,0,957,1071,1119,1433,957,3578,2190,1,2,1,476,2507
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,1,tanga,ad2,0.432592181638227,0.432436725974798,0.432747637301656,0.000430097292327735,0,512,302,1918,902,512,1702,2220,1,8,1,390,1400
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,8,-1,1,-1,km,gs#0.25,gs,gs,0.25,7,tanga,ad2,0.56389087557093,0.563680697152377,0.564101053989485,0.000566922712345779,0,730,468,3415,1673,730,4576,3883,1,8,1,943,4108
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,3,tanga,ad2,0.444464329535191,0.444287506964699,0.444641152105684,0.000392055659475693,0,663,555,1768,1193,663,2685,2323,1,4,1,530,2130
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.25,gs,gs,0.25,7,tanga,ad2,0.409063701342558,0.408882379653075,0.409245023032041,0.000388672451437914,0,989,853,2731,1673,989,4576,3584,1,4,1,684,3723
