snapshot_id,snapshot_year,k,l,AAIL,AIL,final_SE_similarity,final_SA_similarity,fake_nodes,discarded_entries,original_num_of_individuals,num_of_individuals_post_anonymization
0,1795_1899,2,1,0.00023557988562937767,0.5451812499547766,0.9152,0.5118,0,1655,4692,3037
0,1795_1899,4,1,0.0007274428526518565,0.19453524341557907,0.8546,0.5108,623,341,4692,4974
0,1795_1899,6,1,0.0013147935725836095,0.1839406573435609,0.8186,0.5090,649,276,4692,5065
0,1795_1899,8,1,0.0017591225890760296,0.18684033373806339,0.7938,0.5087,609,314,4692,4987
0,1795_1899,10,1,0.002104131465523726,0.18306035498781545,0.7788,0.5098,581,316,4692,4957
0,1795_1899,2,2,0.0002375232765008928,0.538498675995485,0.9159,0.5099,16,1637,4692,3071
0,1795_1899,4,2,0.000756692567486136,0.19265984795545993,0.8558,0.5097,657,310,4692,5039
0,1795_1899,6,2,0.0012934272437498174,0.1908640996609229,0.8172,0.5096,688,279,4692,5101
0,1795_1899,8,2,0.0017408374181175205,0.18641395612244302,0.7934,0.5090,653,282,4692,5063
0,1795_1899,10,2,0.0021891010231796563,0.18257651022414817,0.7745,0.5094,579,315,4692,4956
0,1795_1899,4,3,0.0007469071476791349,0.19812577926840988,0.8561,0.5082,669,325,4692,5036
0,1795_1899,6,3,0.0012554221252734244,0.18639646304700563,0.8160,0.5094,637,295,4692,5034
0,1795_1899,8,3,0.0017299994114319253,0.1947963472894953,0.7960,0.5096,648,321,4692,5019
0,1795_1899,10,3,0.0021302764087370095,0.19085819861552408,0.7779,0.5085,649,302,4692,5039
0,1795_1899,4,4,0.0007915588878915942,0.19871860692456692,0.8557,0.5081,659,334,4692,5017
0,1795_1899,6,4,0.0012479849212321172,0.1787921229890758,0.8175,0.5089,622,273,4692,5041
0,1795_1899,8,4,0.0017180846467082663,0.18809162396142406,0.7950,0.5092,649,292,4692,5049
0,1795_1899,10,4,0.002257708560863656,0.1860351380279483,0.7794,0.5094,675,263,4692,5104
