data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,snapshot_id,algo,galgo,AIL,dm,am,AAIL,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,5,tanga,ad2,0.763073138052742,0.762432689261957,0.763713586843525,0.00534826706450429,2,750,2003,17407,3155,752,5927,19410,1,10,1,2405,3924
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,1,-1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.742450545106475,0.74203187250996,0.74286921770299,0.00290622347134121,1,777,2077,17980,3011,778,5497,20057,1,10,1,2234,3420
freebase,-1,P17,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.00,gs,gs,0,9,tanga,ad2,0.013724675753066,0.0134336191651653,0.0140157323409669,0.00511685298452599,21,4333,11513,31092,4371,4354,11645,42605,1,4,1,38,132
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,5,1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.120382321014996,0.120278824073452,0.120485817956536,0.002747537387515,7,2655,4338,36980,3011,2662,5497,41318,1,10,1,356,1159
freebase,-1,P17,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.282730072948656,0.282715644473598,0.282744501423715,2.01154185875866E-05,0,2187,4378,3915,3049,2187,5648,8293,1,2,1,862,1270
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,9,tanga,ad2,0.0153553291049643,0.0141520591631571,0.0165585990467717,0.00352776572812195,10,4319,11272,94579,4371,4329,11645,105851,1,10,1,52,373
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.781496232413876,0.780911774352247,0.782080690475505,0.00266768357770655,0,668,1845,16616,3049,668,5648,18461,1,10,1,2381,3803
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,2,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.798235668856175,0.798034564554388,0.798436773157962,0.000995736232507876,0,596,1681,14940,2951,596,5271,16621,10,10,596,2355,3590
freebase,-1,P17,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,6,tanga,ad2,0.2181074719138,0.218070467555797,0.218144476271802,4.73585882180466E-05,0,2553,5361,4803,3265,2553,6291,10164,1,2,1,712,930
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,5,-1,km,gs#0.00,gs,gs,0,6,tanga,ad2,0.713020325830752,0.712274304574719,0.713766347086784,0.00471082097562813,2,940,2371,20187,3265,942,6291,22558,1,10,1,2325,3920
freebase,-1,P17,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.197233422346865,0.197191361364011,0.197275483329718,5.2422217355147E-05,0,2744,5882,5244,3418,2744,6794,11126,1,2,1,674,912
freebase,-1,P17,mean,10,all,adm,0.5,0.5,10,-1,5,-1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.765699662589722,0.765194287612089,0.766205037567357,0.00215231125552273,0,707,1838,16060,3011,707,5497,17898,1,10,1,2304,3659
freebase,-1,P17,mean,10,all,adm,0.5,0.5,2,-1,1,-1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.335445916860035,0.335436759557919,0.335455074162153,1.3831394245403E-05,0,2001,3485,3079,3011,2001,5497,6564,2,2,2001,1010,2012
freebase,-1,P17,mean,10,all,adm,0.5,0.5,4,-1,1,-1,km,gs#0.00,gs,gs,0,5,tanga,ad2,0.520753394372034,0.520543640649149,0.520963148094926,0.00633275373503844,9,1517,3393,9601,3155,1526,5927,12994,1,4,1,1638,2534
